STOCK CODE,SUBCATEGORY NAME,SHORT DESCRIPTION,IMAGE,MANUFACTURER,MANUFACTURER SKU,DBP,RRP
NWG-WGM48201,Subscriptions  Licensing,WatchGuard Standard Support Renewal 1-yr for Firebox M4800,https://www.leadersystems.com.au/Images/NWG-WGM48201.jpg,Watchguard,WGM48201,4063,5155
NWG-WGPSP30601,Subscriptions  Licensing,WatchGuard Passport (EPDR + AuthPoint + DNSWatchGO) - 1 Year - 1001 to 5000 Users - License Per User,https://www.leadersystems.com.au/Images/NWG-WGPSP30601.jpg,Watchguard,WGPSP30601,65,82
NWG-WGPSP30603,Subscriptions  Licensing,WatchGuard Passport (EPDR + AuthPoint + DNSWatchGO) - 3 Year - 1001 to 5000 Users - License Per User,https://www.leadersystems.com.au/Images/NWG-WGPSP30603.jpg,Watchguard,WGPSP30603,157,196
NWG-WGVLG031,Firewalls  Network Security,WatchGuard FireboxV Large with 1-yr Basic Security Suite,https://www.leadersystems.com.au/Images/NWG-WGVLG031.jpg,Watchguard,WGVLG031,9401,12965
NWG-WGVLG001,Firewalls  Network Security,WatchGuard FireboxV Large with 1-yr Standard Support - Only available to WGOne Silver/Gold Partners,https://www.leadersystems.com.au/Images/NWG-WGVLG001.jpg,Watchguard,WGVLG001,6963,9602
NWG-WG8596,Watchguard Accessories,WATCHGUARD FIREBOX M RACK RAILS KIT,https://www.leadersystems.com.au/Images/NWG-WG8596.jpg,Watchguard,WG8596,162,220
NWG-WG35R201,Subscriptions  Licensing,WatchGuard Standard Support Renewal 1-yr for Firebox T35-Rugged,https://www.leadersystems.com.au/Images/NWG-WG35R201.jpg,Watchguard,WG35R201,401,509
NWG-WG35R261,Subscriptions  Licensing,WatchGuard Gold Support Renewal/Upgrade 1-yr for Firebox T35-Rugged,https://www.leadersystems.com.au/Images/NWG-WG35R261.jpg,Watchguard,WG35R261,591,750
NWG-WGEMA093,Email Security,Panda Email Protection - 3 Year - 3000+ users,https://www.leadersystems.com.au/Images/NWG-WGEMA093.jpg,Watchguard,WGEMA093,36,48
NWG-WGEMA073,Email Security,Panda Email Protection - 3 Year - 501 to 1000 users,https://www.leadersystems.com.au/Images/NWG-WGEMA073.jpg,Watchguard,WGEMA073,52,69
NWG-WGEPL021,Endpoint  Mobile Protection,Panda Endpoint Protection Plus - 1 Year - 11 to 25 users,https://www.leadersystems.com.au/Images/NWG-WGEPL021.jpg,Watchguard,WGEPL021,45,57
